id,motivation_other,barriers_other,repetoire,what_would_increase_attendance,txt_distinct_choirs,received_from_other
119090050896,Interest in early music ,Not that interested in folk music unless it is ancient ,"Baroque,  Monteverdi ,  Bach,  Brahms,  sacred music. ,  Andrew Balfour ,  Albanian music, Baltic,   eastern music, Persian, East  Indian.  Russian,  Rachmaninov…. Nordic.  ",Interesting original programs of music not often heard.  ,NA,NA
119090042871,NA,NA,"Ancient and modern, sacred",Knowing about them,NA,NA
119090034738,NA,NA,NA,NA,NA,NA
119090018901,NA,NA,"Choral masterworks, Oratorios, new music that has an aim towards beauty….","If the programming was balanced better between old and new, and we had an understanding beyond “its new” as to why we’re performing it. That goes for the old things too…. But often that’s more (hopefully) self evident. Oh- and less political virtue signalling on display. ",NA,NA
119090006535,NA,NA,Baroque; oratorio; art songs; classical 18 and 19th century music. ,Reminders of upcoming works and details of the performances to be presented. Especially 17th and 18th century works. ,NA,NA
119090003476,NA,NA,"Seasonal, baroque, renaissance, some new music",Convenient pricing and location/venue,I don’t know enough about each of the different choirs,NA
119089994665,NA,NA,NA,NA,NA,NA
119089992867,NA,NA,NA,NA,NA,NA
119089976338,NA,NA,Variety ,Reasonable prices,NA,NA
119089961078,NA,Poor parking options ,"New and varied
World music
Anything beautiful and compelling ",Being excited to hear a thematically designed programme. ,NA,NA
119089952635,NA,NA,NA,If we didn't travel as much,NA,NA
119089941501,NA,NA,from medieval to early 20th century,NA,NA,NA
119089932324,NA,NA,Early music to contemporary composers. Russian orthodox.  A very wide range. ,NA,"Dead of Winter sings a blend ranging from Andrew’s work to music which is centuries old. Proximus 5 chooses music suitable to its voices and composition, etc",NA
119089914706,The quality of the singing.  ,NA,All classical past and present.    Not too light.  ,We are so lucky in Winnipeg to have these groups.  I go to all of them already.  ,NA,NA
119089909275,NA,NA,NA,I am happy with how things are now.,NA,NA
119089900973,NA,NA,NA,NA,NA,NA
119089900833,NA,NA,"Traditional/classical, madrigal, folk music (Irish, etc).  Some variety within a concert. ","Being aware of them in time to fit them into my schedule, proximity of performance venue to where I live.",I'm not aware of all the choirs and haven't heard all of them.,NA
119089890103,NA,NA,"Traditional Choral, with or without accomp. Harmony is important. Major works, Bach, Mendelssohn, early, Baroque, Romantic, Classic periods, etc.","I like the new Desautels concert hall, good acoustics, sight lines, parking, comfort, & more!",NA,NA
119089888425,NA,NA,"I love the Baroque Festival programming
I enjoyed the variety of music presented in Horizon's winter concert.",a higher income...,NA,NA
119089869373,NA,NA,Modern/experimental pieces and/or voices + orchestral/electronic/other ,NA,NA,NA
119089860131,NA,NA,NA,NA,NA,NA
119089851024,NA,NA,"Acapella,  men's 
Sing a long",NA,Choirs are not generally on my radar. I tend to book based on what I hear about through social media or other means.,NA
119089850786,NA,NA,My interest is predominantly sacred music.  I find the themes and/or content of most secular music uninteresting.,More personal free time. :(,"I know that the different choirs have different emphases and may lean into certain styles and/or projects, but there is also considerable overlap.",NA
119089848466,NA,NA,I love choral music from medieval times as well as newer contemporary music,If I had more time…,"Not familiar with Canzona and polycoro
But yes the ones I am familwith do have similar interests",NA
119089846270,NA,NA,Polycoro's programming is typically very interesting to me - I am a musician but not in the choral world at all so I don't know what I'm looking for exactly but I love what Polycoro is serving up ,Shorter programs which are more affordable are always nice (1hr no intermissions shows in good venues are my JAM),"Canzona is baroque focused and I'm not such a fan of baroque choral singing, although the quality is extremely high.

I used to enjoy Dead of Winter when it was Camerata Nova, but over the past number of years it feels like is has become   pretty ideologically driven which feels less interesting to me artistically.

Polycoro feels the most fresh/most likely to really draw me in with programming and high quality performance.

I haven't attended Winnipeg Singers or Proximus 5 although I am very excited to get to my first Proximus 5 concert.

Those are the ones I have patronized the most over the last few seasons.",NA
119089842725,NA,NA,Traditional Christmas music is my favourite. ,"Centrally located concerts with tickets under $30 . Maybe a bring a friend promotion to entice friends of mine who don't normally attend choral concerts to come, or concerts featuring more pop culture for new attendees, like how the wso does movies or known bands. ",NA,NA
119089838493,NA,NA,Innovative ,NA,NA,NA
119089836417,NA,NA,I love what Proximus has been presenting - I trust they will impress me again.,NA,NA,NA
119089835136,NA,NA,NA,NA,NA,NA
119089832977,NA,NA,NA,NA,NA,NA
119089829038,NA,NA,"Contemporary choral, pop arrangements, or contemporary worship that is energetic and rhythmically driven.","More modern, upbeat, and ""new age"" choral music.",I have only been to Proximus 5 concerts.,NA
119089827217,NA,NA,NA,NA,NA,NA
119089826360,NA,NA,"Willing to entertain most periods- Early 20th century English-l
Bach choral music- plus other church music from across the centuries",I don't know. i will just keep doing what i do now. Easy accessibility including parking could become more important,NA,NA
119089815928,NA,NA,"Contemporary compositions, early music (also much in between))",Awareness of concerts; being drawn to repertoire; cohesiveness of concert (not to many guests),Dead of Winter seems to have become increasingly experimental; Winnipeg Singers and The Phil often seem to be appealing to popular taste; Canzone always seems to have been under the radar; university choirs are awesome and seemingly insuufiently promoted,NA
119089804030,NA,NA,I want to hear meaningful programming for today's world. I want to hear quality work that has a story and not the same things over and over again because they fit a theme or sound appealing to a funder.,"Varied venues, reasonable ticket prices or more pay-what-you-want initiative (hopefully supported or subsidized by MCA or another umbrella organization, MAC or WAC perhaps).","I'm not sure what you mean by ""professional"" choir? What's the difference between Polycoro and Ecco Singers? What about between Rainbow Harmony Project and Winnipeg Singers? Who decides who is professional; and are the other choirs simply amateur? Are the ""professional"" choirs only singing for a living? Is it higher production value that makes a choir ""professional""? If it's quality or meaningfulness that defines a professional choir, I think I'll decide that for myself. Also, I searched Proximus 5 to even find out who they are and I'm not sure why they are included in this survey as they are definitely not a choir. Do they audition for new members like other choirs do?",NA
119089798398,NA,NA,Something that sounds intriguing.,No one thing.,I also have not really investigated the different choirs and what they're about.,NA
119089763030,NA,NA,"Religious + Secular
Classical to current","Location (eg Arts Centre in Osborne Village is great)
",NA,NA
119089750763,NA,NA,NA,NA,NA,NA
119089746428,NA,NA,something familiar,"knowing about them in advance, promotion of these events is terrible online and through the general media",NA,NA
119089715293,NA,NA,NA,NA,NA,NA
119089703129,NA,NA,Everything really. From Renaissance to modern repertoire.,Easier parking at venues.,Different repertoire.,NA
119089698507,NA,NA,Varied.  But traditional choral music.  ,Interesting program,I am aware of the different programming from different choirs,NA
119089697389,NA,NA,"Classical, particularly early or contemporary.  Concerts with researched repertoire to create an experience.","After repertoire, my other considerations are the venue acoustic, parking and good visibility.  Keep in mind that Winnipeg can only really support 3 professional choirs.  ","All of our professional choirs are high quality.  Each choir has its own culture, approach to repertoire selection and depth of management.  ",NA
119089696177,NA,NA,NA,NA,NA,NA
119089689262,NA,NA,NA,NA,NA,NA
119089683590,NA,NA,no preference,geographic locations with available parking concerns,NA,NA
119089661451,NA,NA,Good harmony proc,Proximity to Wolesley ,NA,NA
119089653999,NA,NA,"Early music and new music, especially brand new!",Immersive experiences ,NA,NA
119089647172,NA,NA,Medieval and Renaissance as well as new compositions,NA,NA,NA
119089645103,NA,NA,NA,NA,NA,NA
119089642185,NA,NA,NA,NA,NA,NA
119089640068,NA,NA,Renaissance and Medieval ,NA,NA,NA
119089634131,NA,NA,"works by up and coming composers, new generation arrangers. ",The type of repertoire chosen. ,There is always some cross over in terms of repertoire. Dead of Winter is more Indigenous based. Proximus 5 is featuring works that may have their MB debut and are performing their own arrangements. Winnipeg Singers has a vast repertoire that spans many eras. ,NA
119089620070,NA,NA,I'm open ,I don't know.  Already attending a lot,NA,NA
119089618201,NA,NA,"I love Baroque music, but am open to all types of choral repertoire.",I would likely attend more concerts when the weather is not too cold.,NA,NA
119089617009,NA,NA,NA,If they included more mixed media ,I understand their flavours but I am a professional chorister who performs with many of the above mentioned choirs. ,NA
119089613958,NA,I no longer live in Winnipeg 😢 ,Early music,Live streams 😊,NA,NA
119089506168,NA,NA,NA,NA,NA,NA
119088780584,NA,NA,"Classical, the older the better.",More at U/M,NA,NA
119088737864,NA,NA,Contemporary ,Would appreciate online options.,I appreciate local composers and the originality of Manitoba featured artists.,NA
119088593984,NA,NA,"Gospel, World music, something not mainstream ",Only support friends and family,NA,NA
119088551452,NA,NA,NA,NA,NA,NA
119088379335,NA,NA,NA,NA,NA,NA
119088169457,NA,NA,"Sweet harmonies, nothing too weird.  The quality of the singing attracts me more than the complexity of the songs.",See 6.,NA,NA
119088167177,NA,NA,traditional,theme related,NA,NA
119088106085,NA,NA,I am open to many different choral options.,Easy access venue with sufficient parking. Winter concerts in the afternoon.,NA,NA
119087971412,NA,NA,All types of Classical Music,More spare time,NA,NA
119087956679,NA,NA,NA,NA,NA,NA
119087908877,NA,NA,NA,NA,"I wasn’t aware that all of these groups are professional choirs. And while I am familiar with all the names, I am not very familiar with all of their styles.",NA
119087907489,NA,NA,NA,NA,NA,NA
119087868431,NA,NA,NA,If I had more time in my schedule ,Some like dead of winter are very distinct.  Others not so much ,NA
119087631238,NA,NA,I like all kinds of music ,Nothing really.  If I have time I’ll attend.,NA,NA
119087584844,NA,NA,I like seasonal or thematic concerts,Not sure,I'm not familiar with all the choirs,NA
119087581789,NA,NA,All genre of choral and instrumental music.,More time in the week,NA,NA
119087572078,I would love to attend but your venues are now a No! because you present usually in church settings where the pews are rock hard like the St B Cathedral...I am disabled with 5 spinal fractures so your concerts are a no go...try to present them where there are padded seats.,Regarding venues/locations explained above.,I think in this day of chaos a repertoire of choral harmony on lighter theme would be appreciated...,"Have  already explained...and take note of ticket prices...we
 are all on tight budgets...",Harmonies vary with the varying musical tempos.,NA
119087570526,NA,NA,I’m old school. Although some contemporary pieces are wonderful (A. Balfour),Someone to go with?,NA,NA
119087563410,NA,NA,"I’m not interested in ‘New’ music, ",Good parking availability would be an asset,NA,NA
119087543997,NA,NA,"Variety in each concert. Not just a variety of concerts, but each performance needs to have variety. Familiar music helps.",More commonly known pieces.,NA,NA
119087532226,NA,NA,Variety and exposure to new repertoire works for me...,I am satisfied to attend 4 to 5 performances annually.,"Repertoire, ages of participants, size of choir etc.",NA
119087530468,NA,NA,NA,NA,NA,NA
119087498801,NA,NA,I enjoy music in general and try an support new music and traditional  - school choirs are wonderful,I love music but attendance often is based on the venue...I love Crescent Arts Centre and Westworth United Church. I think you should consider Seven Oaks Centre for the Performing Arts in West Kildonan,I knows they are different but not until I see the choirs perform do I realize their unique styles,Winnipeg Singers
119087484250,NA,NA,NA,more free time,I would need a very comprehensive knowledge of them to answer,NA
119087451530,NA,NA,"Classical, contemporary",I already attend a lot.  Knowing the specifics of a program helps ie. what is actually being performed,Dead of Winter seems to have shifted from early music,Choral association 
119087450380,NA,NA,NA,NA,NA,NA
119087450336,The expert conducting,Winter driving impairment ,Always enjoyed variety presented.,NA,Fortunate to have the variety.,Email
119087445896,NA,NA,Variety that the Winnipeg Singers have opens my mind that to things I haven’t heard. ,Can’t say ,NA,NA
119087421189,"Snow forecast, or lack thereof.","Later concerts involve a hotel overnight, as well.","Classical as the main piece, generally.",I usually am looking for a midday performance.,Reference #8.,NA
119087412930,NA,NA,classical from ancient motets up to living composers,more convenient locations,"size of the group,  the conductor if they are conducted, how well the voices blend, the repertoire, the sound",NA
119087410324,NA,NA,NA,NA,NA,NA
119087377409,NA,NA,I like a mixture of traditional choral music and some of the newer compositions. ,I will attend choral concerts as long as I am able. I think the ticket prices and the music on offer is excellent.,NA,NA
119087373838,NA,NA,"Classical 
Musicals
","Venue - parking/ mobility issue
Affordability ",Some choirs are known for a certain style eg Canzona typically sings ‘heavier’ classics ,NA
119087369758,NA,NA,Any and all choral repertoire,NA,"Each professional choir has their own distinct style, repertoire, director, etc.",NA
119087354376,NA,NA,"Baroque and classical . (Eg, Bach, Mozart)",Reperoire,NA,NA
119087340444,NA,NA,NA,NA,NA,NA
119087326655,NA,NA,I enjoy hearing music that is familiar to me. ,NA,NA,NA
119087304573,NA,NA,Classical.  Russian,NA,NA,NA
119087298256,NA,NA,Early music. Polyphony,More early music ,NA,NA
119087292918,NA,NA,Baroque and earlier.  Disappointed that there's so little Renaissance music being featured in the last few years.,"Spread out a bit.  The one issue with the Baroque Festival is everyone schedules their early music for those few weeks,  and I would probably attend more of the concerts if they were spread throughout the year.","For instance, Canzona featured baroque, Dead of Winter sued to feature something Renaissance as well as their other splendid offerings.  Now they have dropped that for Baroque which I can hear in other groups.",NA
119087287815,NA,NA,All choral music,Nothing ,NA,NA
119087285408,NA,The date and time of the concert ,I prefer the classics and the tried and true choral repertoire; the modern not so much.,"If the venue was more consistently central , ie The Crescent Arts Center in the Crescent Fort Rouge Church, which is perfect for me. There’s street parking and not downtown or in the suburbs.","As far as I can gather; however, I haven’t heard all of them recently ","I want to elaborate on question # 12: I used to attend almost all of the functions that you list. I am now 85, and not able to get to many, so I’m very selective now . Thanks for an excellent survey!"
119087275177,NA,Age,From renaissance and baroque to most contemporary ,I don’t expect to attend many more.  Also attend some choral church services,Different choirs help diversify repetoire,NA
119087269314,NA,NA,All types,Lovation,NA,NA
119087268008,NA,NA,Classical.,Nothing really. the concerts are all satisfactory.,"Each choir has its own particular ""voice"".",NA
119087258142,NA,NA,"Classical, Christian, movie soundtracks ",Repertoire that fits my interests ,NA,NA
119087249965,NA,not able to attend anymore (older and alone),nil,nil,NA,NA
119087248764,NA,NA,NA,NA,NA,NA
119087221259,"If I have the time.  I am trying to do only one thing on a weekend, not two like I sometimes use to.",I have not heard of most of these choirs.,It is hard to put in words.  I just know when I see it.,"Mostly the timing, which is hard to do.  I also need to know about them with enough time to make plans.",NA,NA
119087213855,NA,NA,Sacred music,Easier venues for parking,NA,NA
119087210329,NA,NA,"Most choral music interests me, but preference goes out to the more well-known classical composers. ",Easy parking. ,NA,NA
119087200632,NA,NA,"New composers and interesting arrangements of pop, broadway.  I love Whitacre, Lauridesen, Caroline Shaw, Christopher Tin, Jake Runestad, Gjeilo and there are some great Canadian composers who should be showcased.","I like choral concerts to be an event, not the traditional stand on risers in choral formation choral concert.  I also love concerts that are held in different venues and settings.","Some have attempted to specialize in a specific style, but have also ventured into other genres of music.  They also tend to have different numbers of choir members so sometimes that dictates the music that can be performed.",NA
119087198449,NA,NA,Baroque,Repertoire and level of performance/quality of the music experience,NA,NA
119087198128,NA,NA,"Not too much “new music”, preferably a mix if new music is being presented. ",I attend about as often as I want to right now- busy schedule prohibiting more participation. ,NA,NA
119087197806,Choral Conductor and their reading of the composers intentions for performance.,"Venue in terms of choirs, soloists and musicians projection of performance.","1. Composers who understand Orchestra composition 
2. Composers who have made an effort to connect with the audience, choristers and conductors in their composition and not composing to fill their inner space with noise.
3. New Composers who belong to CMC 
4. Manitoba and Prairie Composers from a University Music Faculty
5. More than just STAB exclusive compositioning","Repertoire, Guest Composer present, new venues acoustically dynamic. Good rehearsals evident in concert performances. ","Some choirs rely on a traditional rotation of concerts each Season, some will not do what others specialize in like Bach or Balfour.
Others like a mixed program.
Some choirs have an audience that they will not risk any change in programming while some choirs are quick change artists from one season to the next.",NA
119087193281,NA,NA,Not sure,I take a relative - it based on their interests.,NA,NA
119087193196,NA,lack of parking; weird board dynamics,"new choral music, Canadian choral music","Knowing that the organizations are healthy and well set up with boards of directors that have good governance practices. E.g., WS has had same Board Chair for 10+ years and it limits people from wanting to join that Board. Can also create tension between singers + Board.",NA,NA
119087191733,NA,Entertainment budget is limited,Tend to favour good contemporary composers,Parking convenience,I prefer the choirs who tackle a bit of everything but do mainly recent works,NA
119087191109,NA,NA,"Beautiful, harmonious choral music. Interesting, even edgy, but harmonious. I don't enjoy the more recent discordant music.",See above #6.,NA,NA
119087188238,NA,NA,NA,NA,NA,NA
119087183658,NA,NA,NA,NA,NA,NA
119087183639,NA,NA,Varied,"More affordable, better parking","There is overlap between many of the choirs, but they do each have a 'flavour"" of their own. ",Winnipeg Singers AND Dead of Winter
119087182518,"When it is the Renaissance, Baroque, or up to Haydn/Mozart, I will be there. NOT A FAN of new/modern music",NA,"Please, I beg you, return to what you do best, Faure requiem, masses, vocal harmony",NA,NA,NA
119087180245,NA,NA,"Interesting world-class repertoire (eg. Path of Miracles), as well as concerts tied to the Baroque Festival or WSO.",Interesting world-class repertoire (eg. Path of Miracles). Choral concerts that do not conflict with other classical concerts happening on the same day or weekend.,NA,NA
119087176391,NA,NA,NA,NA,NA,NA
119087172667,NA,"Would love to attend more, Winnipeg has so many wonderful opportunities!","More the classical, but also enjoy some of the newer music.",personal time,NA,NA
119087170846,NA,NA,Traditional but some newer works too,"Not much, but better parking ",NA,NA
119087170493,NA,NA,NA,NA,NA,NA
119087167948,NA,NA,"Large masterworks, contemporary, Canadian, ",NA,I think that there are likely too many semi professional choirs in the city and their repertoire can be similar.  ,NA
119087166990,NA,NA,"Classical. I can sometimes find interest in new classical works, but not always. If there is too much new, I do not go.",Retirement!,"Because of their nature, I am much more likely to attend Canzona and the Phil than Dead of Winter, which is too trendy and too woke for me. The only Dead of Winter concerts I attend are the Renaissance ones. I like the Winnipeg Singers because of their tremendous quality, but will not attend a concert of all Canadian music. I think they are limited by the repertoire they are obliged to sing. Canzona I have underattended in the past, not because of repertoire, but because of lack of time. I am lukewarm on Proximus 5, which is a small group. I prefer a bigger sound.",NA
119087166487,NA,NA,Varied...from old to new...,More time.,NA,NA
119085657869,NA,NA,"Everything. Renaissance, Baroque, and contemporary works that open up new sounds and present interesting ideas and meaningful messages are the types that I find most interesting. I prefer truthful repertoire that doesn’t pander to societal trends, as much as that’s what sells nowadays.","Nothing in particular. Maybe better central concert venues that are beautiful and suitable for acoustic choral performance. Can someone find money to build or convert one?! (Being busy and with young kids is the reason I am attending fewer concerts these days, by the way.)","DoW seems to promote contemporary Indigenous composers and artists, including Andrew of course, and they still have a foot in the early music domain; Winnipeg Singers seems to program accessible, mostly-contemporary works; Polycoro seems to program a variety of Renaissance and cutting edge contemporary works that are rarely performed, and presents their concerts in evocative ways; Canzona covers the Baroque repertoire/masterworks (more contemporary variety as of late but with an outgoing AD), and Proximus 5 performs one-per-part a cappella in a more intimate manner on the whole.","Note that I attend many options on the previous page but could only select one option, so I chose “other live performances”"
