id,txt_involved,txt_sustainability,txt_influence_reduction_other,txt_other_comments,motivation_other,barriers_other,improve_other
115079388801,Kinda born with it. :),looking forward to having Canzona and Polycoro back in action.,NA,NA,NA,NA,NA
115078947857,Auditioned for dead of winter when I arrived in 2016. I had been a paid singer elsewhere before coming to Winnipeg ,"I would love to do more, but the reality is that it’s not worth it to commit more time (ie to preparing the music) for the amount of money we receive. There are also just not enough spots for us all, sadly. I’ll still sing because I love it, but I wish it could be more fairly compensated and more regular work",NA,NA,NA,NA,NA
115078697671,Via making connections through the University of Manitoba. ,"Currently with Canzona on hiatus, I only do project based work with Dead of Winter. This is a relatively low level of commitment. In fact I'd rather we had more opportunities to rehearse and perform. The accommodation of different lifestyles and work schedules is key for my continued participation in these choirs. Honorariums/pay for these gigs has been consistent, but has not increased in the several years that I've been a part. With more money going to the singers, I'd be able to participate in more projects and take on less non-music work.",NA,"I think limiting the definition of professional choirs to these 5 ensembles has negative effects on the opportunities of other choirs. 

I think having more diverse hiring practices of singers, and a wider variety of singers should be a priority. Seniority has made it very difficult to get into the professional choral environment of Manitoba.","Quality of fellow singers' abilities, and the community created",NA,NA
115078538377,After high school I took voice lessons and started singing with my voice teacher's choir,"Smaller group, fewer rehearsals, more input",NA,NA,Connecting to people,NA,NA
115078386108,"I really enjoyed singing with CMU choral ensembles, and Rudy Schellenberg asked me to audition for the Winnipeg Singers in 2001. Then I sang with the Winnipeg Singers from 2001-2005. That was the last time I sang with a professional ensemble in Winnipeg on a regular basis. I moved away for 10 years while doing graduate studies, and have sung a few concerts with the Winnipeg Singers and Polycoro after moving back to Winnipeg in 2015, but haven't sung with an ensemble on a regular basis.",I'm singing when it works with my schedule.,NA,NA,NA,NA,NA
115078283029,"I was recommended by someone I had sung with in University. Once I was a member of one choir, I became a member of two more choirs the next year. ","There are only a set number of concerts per year, which is very manageable with my busy schedule. A bonus is that the choir does not typically hold concerts during the summer months.",NA,"It is difficult to ask choir members to participate in fundraising events on a voluntary basis as singing is usually a part time gig and the singers are under contract rather than being an employee of the organization. 

Sometimes, if singers don't feel like they are truly learning from the conductor, or enjoy the rep chosen, that is enough for the singer to look elsewhere. It is important to ask for feedback from the singers from time to time. ",NA,NA,NA
115078050887,After completing a bachelors of music at CMU in 2014 I auditioned to join Winnipeg singers and Dead of winter.,There is a lot that could be said here. occasionally singing in more than one ensemble can be challenging when the concerts are too closely scheduled. (I acknowledge that individual organizations have limited control over their schedules and how they align with other choirs). I do also take great delight in working towards excellence. Compensation also has a meaningful impact on how many choirs I agree to sing with at a given time.,"Programming, and who the conductor is","I have deeply enjoyed the opportunities that the Manitoba choral scene has provided me over the years. Historically there has been a good variety in the programing choices represented by the different ensembles.

The conductor plays a significant role in my experience as a singer. I have sung under some very uplifting conductors, and some that achieve their goals through fear. I would not be able to sustain working for a conductor that motivates through fear for terribly long. exciting programming and the pursuit of excellence are what motivated me to work with this conductor as much as I did. We are in a position where two ensembles are seeking new artistic directors, and that individual would have a significant influence on which choir I would attempt to join.",NA,NA,NA
115077690237,Heard twice (recently and about 10 years ago) that Canzona was looking for singers and auditioned for the ensemble.,"My teaching hours can be quite flexible, so I love getting involved when I can.",NA,NA,"Not professional development per se, but I think it's good for my voice students to see me in professional settings every so often. I mostly do it because I love choirs though",NA,NA
115077668154,Got asked to join.,NA,NA,"Increasingly, the standard for performances has gone up while the understanding of commitment for singing in community has not kept up with the times (ie. a community obligation, not something to be compensated for).",NA,NA,NA
115077660414,Began while a music student at uofm,NA,NA,NA,NA,NA,NA
115077642860,I was asked to join.,"I'm heading into my first year of teaching and my first year of marriage, so I imagine it will be harder for me to even commit to that one rehearsal a week when I did sing with Canzona.",NA,"Honestly, my decision to participate or not participate in a choir comes down to the director. In my teen years and now in my 20s I have made the decision on a few accounts to not continue with a program because I did not like the leadership of the director. ",NA,NA,NA
115077620483,University/Community,NA,NA,NA,NA,NA,NA
115077617225,"U of Manitoba, various ",I do not currently sing with any. Dead of Winter was the last.,NA,"None of the professional choirs in Winnipeg value loyalty or respect singers. All of the concerts I have been involved in are always artistically focused on all of the other aspects of the performance and leave the singers last. For example: scheduling an intense amount of rehearsals to ensure guests are accommodated, but is just an unreasonable expectation for local singers who have other jobs or commitments. There has also not been any consistency in artistic direction in the last number of years, flip flopping between directors. This left many regular singers out of the loop and essentially cut from the roster arbitrarily. Due to the current management of the professional choirs, I do not anticipate singing with any in the near future.",NA,Organization mismanagement/disorganized,More diversity in programming.
115077575607,NA,"At the busiest times, on top of work, it’s a big time commitment, with not a lot of time between work and rehearsal, and then I still can’t get to sleep as early as other work nights.",NA,NA,NA,"Not getting music soon enough to feel comfortable with it going into rehearsal, and so not enough time between rehearsals to practice.",NA
115077251434,Through studying at the Desautels Faculty of Music,"As a music teacher, I think I am involved enough in various choral programs that fulfill my artistic side outside of teaching.",NA,NA,NA,NA,NA
115076684173,"Progressed from school choir, youth choir, PHC,  church choir, community choir.",I have limited myself to one choir.  Future travel may limit my ability to commit,NA,NA,NA,NA,NA
115076661271,by invitation during my music degree,rehearsals at consistent time with lots of notice so I can adjust my schedule accordingly,NA,"In my opinion, there needs to be a better way in for young upcoming singers in Manitoba to enter the pro choir scene, at times it feels like you have to know/impress the right person to even be considered ",NA,NA,NA
115076647194,Auditioned,2 practices or more a week is very difficult,Late evenings,Marketing and instagram is extremely important. Daily posts from any choir that belongs to a choral platform could help with exposure and build interest ,NA,Late practice. Would prefer earlier start to end earlier,NA
115076448690,Through connections made at the DFOM,NA,NA,NA,NA,NA,NA
115076433442,Founding member of Camerata Nova,Condensed rehearsal schedule is nice.,NA,Just because we're singers doesn't mean we do it for free. Our efforts/training/commitment deserves compensation. ,Being part of the choral community,Wasted time in rehearsals due to poor organization by conductors/choristers/admin,More audio/visual approach
115076423478,through the UofM,The time commitments fit well with my schedule for theatre off-seasons.,NA,NA,NA,NA,NA
115076410378,I was asked to sing in a concert by one of my teachers.,What makes it sustainable for me is the flexibility of my directors and also communication between choral groups so everyone knows what’s happening when.,NA,NA,NA,NA,NA
115076408336,"I grew up in Winnipeg and have always been part of the music scene, so when I was old enough and I had the time to add it to my life, I auditioned for Winnipeg Singers. After a few years I was invited to join Canzona.","I have the time, energy and desire to do it.",NA,NA,NA,NA,NA
115076397751,"Auditioned for Winnipeg Singers in 1984 and have continued to sing with them and other choirs.  I started my ""choral"" career with The Bass Clef Better Half Singers under Helga Anderson and continued to sing with choirs throughout my time at UBC and now In Winnipeg.","I find the choirs I sing with try to work with each other to not have many, if any conflicts, with each other during rehearsal/performance periods.  This allows me to sing in more than one choir, which I love, because each has their own ""brand"" they are trying to promote.  I am a singer who loves to sing different types of choral music and having that opportunity is important to me.",artistic leadership and strength of board to make hard decisions,"I feel we are in a time of making choir performances an ""event"".  I think the days of performing in formal black attire, standing in a choir formation is a thing of the past.  Obviously there is rep that supports that, but there is too much competition for patrons' dollars to not try and do something unique, whether through venue location, repertoire, collaborations with other groups ( not just choirs) and many other factors.  I look at the symphony and what they are doing.  Who would think wrestling on the Concert Hall stage with the symphony would sell out....but it did.",NA,artistic leadership,possibly more artistic collaboration between the professional choirs
115076366623,"Sang in amateur choirs, professional was the natural progression.",NA,NA,Thanks for doing the research.,NA,NA,NA
115076352660,"A friend with more vocal training recognized me as having the musical capacity to sing with Singers, even though I didn't formally have the training. He connected me with Yuri for an audition and it stuck. The reality is the market is hotter for male singers, so there was a door open for me in a way there wouldn't be on the more competitive side of women singers.","Pace of rehearsals works well for me, generally. It can be difficult given other things going on in life (growing kids, church commitment, professional development, etc.), but in and of itself the choral schedule is not at all unreasonable.",NA,n/a,many of the above. Principally the experience of singing at a high level with competent musicians. Pay helps.,NA,I don't really have good insight. The West in late capitalism is a cultural wasteland--I reckon that's the biggest problem to overcome
115076342758,Auditioned for Yuri Klaz then jioned Winnipeg Singers. Found the opportunity on the MCA Website.,"Concert weeks are very busy with rehearsals Mon/Wed, dress reh Sat and concert Sunday",NA,NA,NA,Unhealthy Board governance for WS contributes to an uncomfortable environment at times,More opportunities fir new / younger conductors
115076338239,"I had been singing in choirs all my life. One of my choir experiences evolved into a professional choir, and the other I auditioned for. ",I'm retired and have fewer conflicts.,NA,"While few of us are motivated by money, a reasonable payment fee at least acknowledges the years of lessons, and experience that go into our development as singers. ",NA,NA,NA
115075950086,"After moving to Winnipeg, i expressed my interest in joining professional choirs to some colleagues, and I essentially became on sub lists. After subbing a few times i stayed on! ",NA,NA,NA,NA,NA,NA
115075947756,Friends,My voice is still in good shape and I am semi-retired.,"Health, interpersonal relationships","Not all choristers are equal when it comes to fundraising, volunteering, media engagement etc. and contributions are often not valued equally.",NA,Pressure to fundraise,NA
115075880366,Through auditioning and doing summer programs. Connections through the u of m helped. ,Currently I only sing occasionally with dead of winter and then a professional church gig. I’d love to sing more professionally in choral settings should those opportunities arise.,NA,NA,NA,NA,I think Winnipeg should be having a performance of a large Bach work every Easter season. It’s kind of crazy to me how little Bach is happening!
115074798733,Continuation from prior choral experiences and voice degree. ,A flexible rehearsal schedule. A variety of music. Camaraderie and friendship along with a high calibre of music making.,NA,NA,Calibre of fellow choristers,Calibre of fellow choristers,NA
115074790641,Everyone needs a tenor. ,"We are a small group and very nimble, so there is good value for money and an ability to provide input into programming and strategy.",NA,"I'm on the fence about the fairness of sharing the marketing and fundraising requirements because there's quite a burden to learn the programming and show up every week anyway. While it's important to help with marketing and fundraising, Manitoba has unique challenges in that department, meaning that we share audiences. Ideally, it would be great not to have to work so hard just to get an audience. ",NA,NA,NA
115074787332,"In Canzona first at the age of 23, after entering the school of music as a second degree. It was THE choir to be in at the time, and I was so excited to be a part of it.","Family commitments and my own level of energy outside of my ""paid work"" position.",NA,"It's not just time commitment to our personal lives and then our choral life, we should all find a way to attend/support the other professional choirs in Manitoba, which takes more time to do. If we want a robust community, consideration should be given to the time and effort we, as singers, contribute to the community outside of the choirs we are a part of.",NA,"Paid work - as in if enough paid work existed, would it support a lifestyle in and of itself, so that a person can strictly be an artist?",NA
115072269100,"Singing in choirs throughout university, then Manitoba Youth Choir and National Youth Choir, and other educational programs both local and international. Cut my teeth with a church job (crazy amounts of sight reading and repertoire). Then successfully auditioned for a number of pro choirs here and in Toronto. Founded a choir that became professional-level. In general, said yes to opportunity!","Most of the choirs I sing in work on a project basis rather than regular rehearsals. These days I find I can't take on more than one project at a time - or if I do, I regret it afterwards!",NA,"I don't sing in these choirs for the money, but I do believe it's important to value our work more equitably. I really feel the gap of not having Polycoro and Canzona this year (listed as current because I sang their most recent concerts last year).",NA,NA,NA
115071995115,"A friend thought I would be a good addition to Camerata Nova once upon a time, based on my contribution to our church choir.",The choirs have a certain level of working around each other in terms of scheduling their rehearsals and their seasons in general.,NA,NA,NA,NA,NA
